846.5	1.32	0.02
1037.8	1.15	0.02
1238.3	1.00	0.02
1360.2	0.97	0.02
2015.2	0.68	0.02
2034.8	0.693	0.015
2598.5	0.560	0.011
3009.6	0.49	0.03
3202.0	0.460	0.014
3253.5	0.432	0.010
3273.1	0.46	0.02
3451.2	0.41	0.02
